index;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot;P_tot;distance;geometry;path;path_length
10;191653673;7e;Residenza agli Orti;Via agli Orti 22a;Lugano;6900;Lugano;1030;1122.0;8023.0;581.0;7.0;2717974.231;1096466.911;4067.0;14;56938.0;21;85407.0;142345.0;71.1725;270.4143005288196;POINT (717974.2 96467);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864, 717845.8168985986 96483.67746553222, 717851.2895645109 96458.36606272045, 717860.302609019 96424.68418070009, 717943.1762970691 96437.97835586127, 717972.8114380687 96442.73442517831, 717974.2 96467);525.2906728093886
11;400011566;1143a;Residenza Parco Vecchio Torchio;Via Luigi Taddei 4;Viganello;6962;Lugano;1030;1122.0;8021.0;432.0;8.0;2718157.24;1096828.915;3456.0;16;55296.0;21;72576.0;127872.0;63.936;274.2326130039181;POINT (718157.2 96829);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295, 718141.8749964547 96838.54684833626, 718157.2 96829);613.3246490955376
12;191900550;12b;Ospedale - clinica;Via Pietro Capelli ;Lugano;6900;Lugano;1060;1264.0;8023.0;863.0;7.0;2717875.634;1096451.816;6041.0;40;241640.0;28;169148.0;410788.0;186.72181818181815;277.09360400111376;POINT (717875.6 96451.89999999999);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864, 717845.8168985986 96483.67746553222, 717851.2895645109 96458.36606272045, 717875.6 96451.89999999999);377.326545563214
13;400017386;5a;Condominio Residenza Volonté;Via al Chioso 11a;Lugano;6900;Lugano;1020;1122.0;8021.0;332.0;7.0;2718020.2;1096475.19;2324.0;16;37184.0;21;48804.0;85988.0;42.994;278.6406421874318;POINT (718020.2 96475.2);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 717983.3358276468 96616.90351851113, 717991.4434721799 96548.49135541049, 717992.6881228205 96536.662890195, 717994.1169466862 96524.52667573962, 717998.9135108202 96491.37462979014, 718003.3661474483 96454.79131500779, 718020.2 96475.2);529.2710879664431
14;274004678;42o;Condominio Residenza Ottagoni;Via Boscioro 22;Viganello;6962;Lugano;1020;1122.0;8020.0;277.0;7.0;2718003.85;1096996.2;1939.0;16;31024.0;21;40719.0;71743.0;35.8715;287.1172155841799;POINT (718003.8 96996.3);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295, 718060.314329532 97021.87793728865, 718059.516487153 97045.7900798271, 717996.5678626465 97041.6983632717, 717982.4599895866 97041.34651079036, 717974.3323915097 97014.6814591633, 718003.8 96996.3);870.6700530406788
15;274004679;1126i;Condominio Residenza Ottagoni;Via Merlina 15;Viganello;6962;Lugano;1020;1122.0;8020.0;277.0;7.0;2718039.43;1096997.03;1939.0;16;31024.0;21;40719.0;71743.0;35.8715;302.2520622008197;POINT (718039.4 96997.10000000001);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295, 718060.314329532 97021.87793728865, 718039.4 96997.10000000001);739.3686327844941
16;400011543;1129a;Residenza Parco Vecchio Torchio;Via Luigi Taddei 4a;Viganello;6962;Lugano;1030;1122.0;8021.0;429.0;8.0;2718148.24;1096903.915;3432.0;16;54912.0;21;72072.0;126984.0;63.492;302.51904091175766;POINT (718148.2 96904);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718167.8018730031 96707.64911844666, 718188.6765907743 96713.43670136797, 718220.8810783908 96724.62619042842, 718233.0559051617 96733.58027230673, 718232.2909087342 96735.86697627923, 718232.3061388931 96738.26893452772, 718233.0906487993 96740.55243912125, 718234.5721865166 96742.44923283609, 718236.5836224232 96743.78928127422, 718238.7799254872 96744.38796860359, 718241.0593391947 96744.29890846393, 718243.2048081729 96743.52899495304, 718245.0136837413 96742.14099630383, 718255.8449681449 96761.20932449028, 718292.5258567531 96803.88584998703, 718316.1311951691 96831.34201217127, 718326.3124727745 96843.19282512201, 718303.4280725182 96885.7324275522, 718283.225674493 96879.66843950529, 718268.7622614742 96875.6731570327, 718255.5467040422 96904.2802966782, 718230.573796752 96895.74419587187, 718219.4254272319 96922.83501012997, 718211.6513079725 96938.56137431882, 718209.4017302471 96937.91718371224, 718185.2324183102 96935.06749408969, 718184.5746078183 96935.03245871417, 718180.0484556877 96934.73314664621, 718158.6310250253 96932.19283231642, 718148.2 96904);970.3914112439012
17;190134473;3a;Condominio Prestige du Lac;Via al Chioso 15;Lugano;6900;Lugano;1030;1122.0;8022.0;545.0;7.0;2718072.7;1096465.51;3815.0;14;53410.0;21;80115.0;133525.0;66.7625;312.58562122977736;POINT (718072.7 96465.60000000001);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 717983.3358276468 96616.90351851113, 717991.4434721799 96548.49135541049, 717992.6881228205 96536.662890195, 717994.1169466862 96524.52667573962, 717998.9135108202 96491.37462979014, 718003.3661474483 96454.79131500779, 718010.2399614612 96411.22794971797, 718059.4297436333 96426.77151349165, 718088.7063832914 96437.61428618249, 718072.7 96465.60000000001);661.9648924335495
18;190639108;5b;Condominio Residenza Volonté;Via al Chioso 11;Lugano;6900;Lugano;1020;1122.0;8021.0;339.0;7.0;2718032.91;1096442.75;2373.0;16;37968.0;21;49833.0;87801.0;43.9005;313.3792710176951;POINT (718032.9 96442.8);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 717983.3358276468 96616.90351851113, 717991.4434721799 96548.49135541049, 717992.6881228205 96536.662890195, 717994.1169466862 96524.52667573962, 717998.9135108202 96491.37462979014, 718003.3661474483 96454.79131500779, 718010.2399614612 96411.22794971797, 718059.4297436333 96426.77151349165, 718032.9 96442.8);629.5009136317364
19;400011943;69b;Residenza Parco Vecchio Torchio;Via Luigi Taddei 4c;Viganello;6962;Lugano;1030;1122.0;8021.0;873.0;7.0;2718210.241;1096835.915;6111.0;16;97776.0;21;128331.0;226107.0;113.0535;326.3317028925261;POINT (718210.2 96836);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718167.8018730031 96707.64911844666, 718188.6765907743 96713.43670136797, 718220.8810783908 96724.62619042842, 718233.0559051617 96733.58027230673, 718232.2909087342 96735.86697627923, 718232.3061388931 96738.26893452772, 718233.0906487993 96740.55243912125, 718234.5721865166 96742.44923283609, 718236.5836224232 96743.78928127422, 718238.7799254872 96744.38796860359, 718241.0593391947 96744.29890846393, 718243.2048081729 96743.52899495304, 718245.0136837413 96742.14099630383, 718255.8449681449 96761.20932449028, 718292.5258567531 96803.88584998703, 718316.1311951691 96831.34201217127, 718326.3124727745 96843.19282512201, 718303.4280725182 96885.7324275522, 718283.225674493 96879.66843950529, 718268.7622614742 96875.6731570327, 718274.1950283051 96852.88530906063, 718259.0563179341 96833.43288353826, 718258.1414870765 96829.08985954833, 718254.2699983126 96819.83036247372, 718210.2 96836);891.6429557816434
20;190183405;2a;Supercondominio Plaza;Viale dei Faggi 19;Lugano;6900;Lugano;1030;1122.0;8021.0;240.0;6.0;2718110.234;1096464.913;1440.0;16;23040.0;21;30240.0;53280.0;26.64;334.9717986961132;POINT (718110.2 96465);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 717983.3358276468 96616.90351851113, 717991.4434721799 96548.49135541049, 717992.6881228205 96536.662890195, 717994.1169466862 96524.52667573962, 717998.9135108202 96491.37462979014, 718127.5430764935 96482.34417563789, 718129.4800849224 96472.77519313898, 718132.0555797818 96461.05045955438, 718130.9674757888 96460.82916309756, 718128.3253990229 96459.24339426472, 718126.3492149004 96456.88113908083, 718110.2 96465);642.0226934503837
21;191929025;517g;;Viale Cassarate ;Lugano;6900;Lugano;1060;1251.0;8022.0;9.0;2.0;2717812.425;1096404.17;18.0;56;1008.0;1;18.0;1026.0;0.6035294117647059;335.77445571738446;POINT (717812.4 96404.2);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717816.1981736147 96644.26988673711, 717812.2544091307 96602.34227488127, 717802.883324687 96538.24973893816, 717803.0614690348 96507.48749634066, 717805.0374268553 96489.090854838, 717805.8967181939 96481.13534345441, 717814.2476277475 96427.24883151129, 717815.8590638469 96418.46287837358, 717816.9558453442 96411.44595180338, 717812.4 96404.2);382.7614323182119
22;190891330;209b;;Via alla Roggia 20;Viganello;6962;Lugano;1030;1122.0;8022.0;303.0;7.0;2718195.71;1096563.66;2121.0;14;29694.0;21;44541.0;74235.0;37.1175;336.0675917386974;POINT (718195.7 96563.7);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893, 718113.0211789819 96570.16721841865, 718114.8876465661 96559.84078297585, 718123.0388272089 96510.38716811211, 718132.8947554551 96511.92418587825, 718178.44785438 96520.0040132377, 718210.295994512 96525.67156825593, 718208.6624455518 96539.14913217995, 718195.7 96563.7);716.0766296651755
23;191544711;1581a;;Via Giovanni Ferri 16;Lugano;6900;Lugano;1020;1122.0;8023.0;368.0;6.0;2717666.62;1096979.76;2208.0;14;30912.0;21;46368.0;77280.0;38.64;345.16664587178644;POINT (717666.6 96979.8);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256, 717581.3917434308 96778.4052872833, 717584.020670501 96799.08151094742, 717593.1003184225 96872.31877291527, 717598.0211694217 96897.45352482722, 717597.0957375952 96900.83795701835, 717594.0602652166 96903.1697343753, 717591.2437857382 96903.79346008869, 717588.9227135725 96904.03761928297, 717597.0094141044 96965.72548889178, 717646.7607857108 96960.88479455296, 717666.6 96979.8);589.1222462379293
24;11154199;69a;Residenza Parco Vecchio Torchio;Via Luigi Taddei 4b;Viganello;6962;Lugano;1030;1122.0;8021.0;656.0;7.0;2718201.242;1096904.915;4592.0;16;73472.0;21;96432.0;169904.0;84.952;347.4751802334684;POINT (718201.2 96905);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718167.8018730031 96707.64911844666, 718188.6765907743 96713.43670136797, 718220.8810783908 96724.62619042842, 718233.0559051617 96733.58027230673, 718232.2909087342 96735.86697627923, 718232.3061388931 96738.26893452772, 718233.0906487993 96740.55243912125, 718234.5721865166 96742.44923283609, 718236.5836224232 96743.78928127422, 718238.7799254872 96744.38796860359, 718241.0593391947 96744.29890846393, 718243.2048081729 96743.52899495304, 718245.0136837413 96742.14099630383, 718255.8449681449 96761.20932449028, 718292.5258567531 96803.88584998703, 718316.1311951691 96831.34201217127, 718326.3124727745 96843.19282512201, 718303.4280725182 96885.7324275522, 718283.225674493 96879.66843950529, 718268.7622614742 96875.6731570327, 718255.5467040422 96904.2802966782, 718230.573796752 96895.74419587187, 718219.4254272319 96922.83501012997, 718201.2 96905);894.8488218658395
25;740640;27a;;Via al Chioso 10;Lugano;6900;Lugano;1060;1220.0;8020.0;1028.0;6.0;2717981.75;1096380.17;6168.0;54;333072.0;7;43176.0;376248.0;221.3223529411765;356.43948336399933;POINT (717981.7 96380.2);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864, 717845.8168985986 96483.67746553222, 717851.2895645109 96458.36606272045, 717860.302609019 96424.68418070009, 717943.1762970691 96437.97835586127, 717953.0185592634 96393.53858299692, 717981.7 96380.2);548.1190294442182
26;400011544;1071a;Condominio Residenza Vecchio Torchio;Via Luigi Taddei 6a;Viganello;6962;Lugano;1020;1122.0;8021.0;232.0;8.0;2718182.2;1096949.64;1856.0;16;29696.0;21;38976.0;68672.0;34.336;357.2017835442786;POINT (718182.2 96949.7);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995, 718167.8018730031 96707.64911844666, 718188.6765907743 96713.43670136797, 718220.8810783908 96724.62619042842, 718233.0559051617 96733.58027230673, 718232.2909087342 96735.86697627923, 718232.3061388931 96738.26893452772, 718233.0906487993 96740.55243912125, 718234.5721865166 96742.44923283609, 718236.5836224232 96743.78928127422, 718238.7799254872 96744.38796860359, 718241.0593391947 96744.29890846393, 718243.2048081729 96743.52899495304, 718245.0136837413 96742.14099630383, 718255.8449681449 96761.20932449028, 718292.5258567531 96803.88584998703, 718316.1311951691 96831.34201217127, 718326.3124727745 96843.19282512201, 718303.4280725182 96885.7324275522, 718283.225674493 96879.66843950529, 718268.7622614742 96875.6731570327, 718255.5467040422 96904.2802966782, 718230.573796752 96895.74419587187, 718219.4254272319 96922.83501012997, 718211.6513079725 96938.56137431882, 718209.4017302471 96937.91718371224, 718185.2324183102 96935.06749408969, 718184.5746078183 96935.03245871417, 718182.2 96949.7);929.0856928908739
27;191139230;529a;;Via Orti 4;Lugano;6900;Lugano;1030;1122.0;8023.0;1196.0;6.0;2717547.222;1096786.907;7176.0;14;100464.0;21;150696.0;251160.0;125.58;360.08070847734933;POINT (717547.2 96787);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256, 717581.3917434308 96778.4052872833, 717584.020670501 96799.08151094742, 717514.3304974528 96815.75654824892, 717510.4047694046 96789.21791564611, 717509.075890342 96780.21935597243, 717508.4862086363 96776.26078308352, 717538.0861580437 96771.95226875166, 717547.2 96787);496.63170707800526
28;190447009;530a;;Via Giuseppe Bagutti 4;Lugano;6900;Lugano;1040;1211.0;8022.0;272.0;7.0;2717524.08;1096756.51;1904.0;14;26656.0;21;39984.0;66640.0;33.32;379.4661543988879;POINT (717524 96756.60000000001);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256, 717581.3917434308 96778.4052872833, 717584.020670501 96799.08151094742, 717514.3304974528 96815.75654824892, 717510.4047694046 96789.21791564611, 717509.075890342 96780.21935597243, 717508.4862086363 96776.26078308352, 717538.0861580437 96771.95226875166, 717541.326467996 96770.24707730148, 717542.137227333 96766.78258620817, 717537.6771057565 96754.65465132998, 717524 96756.60000000001);512.9957036217897
29;11142167;675a;Condominio Residenza alle Aie;Via Pier Francesco Mola 11;Lugano;6900;Lugano;1020;1122.0;8021.0;661.0;7.0;2717835.47;1097103.67;4627.0;16;74032.0;21;97167.0;171199.0;85.5995;381.9183644713189;POINT (717835.4 97103.7);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671, 717733.608176121 96876.70808993408, 717749.4872476462 96979.9424575665, 717750.5292258272 96987.73468585555, 717754.363579349 96987.35314094684, 717768.6217234825 97078.65903979407, 717772.5176099626 97101.47248610549, 717776.8870580866 97126.22978521886, 717835.4 97103.7);635.7422713985113
30;400011536;940l;;Via Molinazzo 5;Viganello;6962;Lugano;1060;1230.0;8020.0;692.0;1.0;2718228.86;1096506.74;692.0;32;22144.0;7;4844.0;26988.0;15.87529411764706;394.1528551238368;POINT (718228.8 96506.8);LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893, 718113.0211789819 96570.16721841865, 718114.8876465661 96559.84078297585, 718123.0388272089 96510.38716811211, 718132.8947554551 96511.92418587825, 718178.44785438 96520.0040132377, 718210.295994512 96525.67156825593, 718232.7864529209 96529.6783662581, 718238.7266974882 96530.18313476353, 718244.0172645024 96528.64052228309, 718246.7509646162 96523.92376206233, 718248.3039073402 96514.59195278979, 718228.8 96506.8);744.9694157711374
